t_index	term	df
1362	brood	1
1363	brook	3
1364	brooklyn	1
1365	broom	1
1366	brother	73
1367	brought	116
1368	brow	2
1369	brown	18
1370	broz	1
1371	bruce	1
1372	bruis	7
1373	brunei	22
1374	brunswick	1
1375	brunt	4
1376	brush	7
1377	brussel	6
1378	brutal	16
1379	bryan	4
1380	bryann	1
1381	bryant	1
1382	bu	18
1383	bubbl	2
1384	buccan	1
1385	buchanan	7
1386	buck	9
1387	bucket	4
1388	buckl	13
1389	bud	3
1390	budapest	1
1391	buddhist	1
1392	buddi	1
1393	budget	9
1394	budnev	1
1395	budor	1
1396	budsmen	1
1397	budva	1
1398	bueni	1
1399	buf	4
1400	buff	4
1401	buffalo	3
1402	buffer	1
1403	bug	5
1404	bugss	1
1405	build	170
1406	builder	6
1407	buildup	2
1408	built	29
1409	bulatov	7
1410	bulg	1
1411	bulgaria	3
1412	bulk	4
1413	bulkhead	4
1414	bulki	1
1415	bulldoz	25
1416	bullet	10
1417	bulletin	3
1418	bulletproof	3
1419	bulli	3
1420	bullzdoz	1
1421	bum	1
1422	bump	2
1423	bumper	4
1424	bumpi	1
1425	bunch	5
1426	bundl	1
1427	bungl	6
1428	bunk	5
1429	bunker	7
1430	bunkroom	1
1431	bunt	1
1432	buoy	7
1433	buraika	1
1434	burch	1
1435	burden	7
1436	bureau	33
1437	bureaucraci	4
1438	bureaucrat	7
1439	burglar	7
1440	burglari	8
1441	burgsmul	2
1442	buri	85
1443	burial	13
1444	burk	6
1445	burkhard	1
1446	burkina	8
1447	burkinab	1
1448	burkl	5
1449	burli	4
1450	burn	47
1451	burner	2
1452	burnt	3
1453	burri	1
1454	burst	10
1455	burton	5
1456	buse	19
1457	bush	99
1458	bushi	1
1459	bushnel	1
1460	busi	90
1461	busiest	1
1462	busili	1
1463	businessman	54
1464	businessmen	5
1465	buss	1
1466	bust	7
1467	bustamant	1
1468	bustl	5
1469	butcher	4
1470	butter	1
1471	button	4
1472	buttress	5
1473	buy	44
1474	buyer	2
1475	buzz	6
1476	bye	5
1477	bypass	5
1478	byrd	6
1479	c	32
1480	ca	1
1481	cab	2
1482	cabana	1
1483	cabin	2
1484	cabinet	32
1485	cabl	5
1486	cacak	8
1487	cach	2
1488	cadav	1
1489	cadet	1
1490	caeti	1
1491	cafe	4
1492	cafetalon	1
1493	cafeteria	1
1494	cage	5
1495	cagl	1
1496	cahokia	3
1497	cairo	5
1498	caisson	1
1499	cake	5
1500	cal	2
1501	calam	5
1502	calamit	1
1503	calatrava	2
1504	calcul	10
1505	calculu	1
1506	calcutta	3
1507	calderon	1
1508	calena	1
1509	caley	1
1510	calhoun	1
1511	calib	4
1512	calif	7
1513	california	32
1514	calina	1
1515	calix	1
1516	call	371
1517	callahan	1
1518	callen	3
1519	caller	5
1520	callou	1
1521	callous	1
1522	calm	38
1523	calmli	1
1524	calvario	6
1525	calvert	1
1526	cambodia	3
1527	camden	1
1528	came	236
